order_details_id,order_id,order_date,order_time,item_id
1,1,01-01-2023,11:38,109
2,2,01-01-2023,11:57,108
3,2,01-01-2023,11:57,124
4,2,01-01-2023,11:57,117
5,2,01-01-2023,11:57,129
6,2,01-01-2023,11:57,106
7,3,01-01-2023,12:12,117
8,3,01-01-2023,12:12,119
9,4,01-01-2023,12:16,117
10,5,01-01-2023,12:21,117
11,6,01-01-2023,12:29,101
12,6,01-01-2023,12:29,114
13,7,01-01-2023,12:50,123
14,8,01-01-2023,12:51,123
15,9,01-01-2023,12:52,108
16,9,01-01-2023,12:52,126
17,9,01-01-2023,12:52,110
18,9,01-01-2023,12:52,117
19,9,01-01-2023,12:52,117
20,9,01-01-2023,12:52,129
21,9,01-01-2023,12:52,122
22,9,01-01-2023,12:52,130
23,9,01-01-2023,12:52,132
24,10,01-01-2023,13:00,129
25,10,01-01-2023,13:00,105
26,11,01-01-2023,13:02,101
27,11,01-01-2023,13:02,102
28,11,01-01-2023,13:02,102
29,11,01-01-2023,13:02,113
30,12,01-01-2023,13:04,102
31,12,01-01-2023,13:04,102
32,12,01-01-2023,13:04,104
33,12,01-01-2023,13:04,117
34,13,01-01-2023,13:11,129
35,14,01-01-2023,13:14,114
36,15,01-01-2023,13:33,107
37,15,01-01-2023,13:33,124
38,15,01-01-2023,13:33,121
39,15,01-01-2023,13:33,114
40,16,01-01-2023,13:34,125
41,16,01-01-2023,13:34,111
42,16,01-01-2023,13:34,106
43,17,01-01-2023,13:53,101
44,17,01-01-2023,13:53,116
45,17,01-01-2023,13:53,124
46,17,01-01-2023,13:53,125
47,17,01-01-2023,13:53,117
48,17,01-01-2023,13:53,127
49,17,01-01-2023,13:53,128
50,17,01-01-2023,13:53,129
51,17,01-01-2023,13:53,118
52,17,01-01-2023,13:53,131
53,18,01-01-2023,13:57,111
54,19,01-01-2023,13:59,110
55,19,01-01-2023,13:59,120
56,20,01-01-2023,14:03,107
57,20,01-01-2023,14:03,124
58,21,01-01-2023,14:14,110
59,22,01-01-2023,14:16,124
60,22,01-01-2023,14:16,110
61,22,01-01-2023,14:16,105
62,23,01-01-2023,14:19,105
63,24,01-01-2023,14:23,101
64,24,01-01-2023,14:23,110
65,24,01-01-2023,14:23,113
66,24,01-01-2023,14:23,119
67,25,01-01-2023,14:44,120
68,25,01-01-2023,14:44,106
69,26,01-01-2023,14:54,108
70,26,01-01-2023,14:54,132
71,27,01-01-2023,15:11,101
72,27,01-01-2023,15:11,108
73,27,01-01-2023,15:11,131
74,28,01-01-2023,15:35,103
75,29,01-01-2023,15:41,126
76,30,01-01-2023,15:41,106
77,31,01-01-2023,15:50,129
78,31,01-01-2023,15:50,113
79,32,01-01-2023,15:53,107
80,32,01-01-2023,15:53,126
81,32,01-01-2023,15:53,110
82,32,01-01-2023,15:53,117
83,33,01-01-2023,15:54,101
84,33,01-01-2023,15:54,126
85,34,01-01-2023,16:21,114
86,35,01-01-2023,16:32,126
87,35,01-01-2023,16:32,112
88,35,01-01-2023,16:32,113
89,35,01-01-2023,16:32,106
90,36,01-01-2023,16:54,101
91,36,01-01-2023,16:54,108
92,37,01-01-2023,16:56,117
93,37,01-01-2023,16:56,129
94,38,01-01-2023,17:03,109
95,38,01-01-2023,17:03,110
96,39,01-01-2023,17:07,117
97,40,01-01-2023,17:14,125
98,40,01-01-2023,17:14,105
99,41,01-01-2023,17:15,125
100,41,01-01-2023,17:15,126
101,42,01-01-2023,17:28,107
102,42,01-01-2023,17:28,124
103,42,01-01-2023,17:28,129
104,42,01-01-2023,17:28,118
105,43,01-01-2023,17:38,103
106,43,01-01-2023,17:38,117
107,43,01-01-2023,17:38,118
108,44,01-01-2023,17:54,130
109,45,01-01-2023,17:55,125
110,45,01-01-2023,17:55,109
111,45,01-01-2023,17:55,106
112,46,01-01-2023,18:25,104
113,46,01-01-2023,18:25,108
114,46,01-01-2023,18:25,106
115,47,01-01-2023,18:26,105
116,47,01-01-2023,18:26,132
117,48,01-01-2023,18:26,104
118,48,01-01-2023,18:26,126
119,48,01-01-2023,18:26,119
120,48,01-01-2023,18:26,122
121,49,01-01-2023,18:33,120
122,50,01-01-2023,18:41,0
123,51,01-01-2023,18:48,101
124,51,01-01-2023,18:48,112
125,52,01-01-2023,18:53,109
126,52,01-01-2023,18:53,129
127,52,01-01-2023,18:53,122
128,53,01-01-2023,18:54,112
129,53,01-01-2023,18:54,123
130,54,01-01-2023,19:01,119
131,54,01-01-2023,19:01,106
132,55,01-01-2023,19:03,118
133,55,01-01-2023,19:03,122
134,56,01-01-2023,19:07,108
135,56,01-01-2023,19:07,128
136,56,01-01-2023,19:07,105
137,57,01-01-2023,19:10,108
138,58,01-01-2023,19:30,124
139,58,01-01-2023,19:30,113
140,59,01-01-2023,19:40,127
141,59,01-01-2023,19:40,112
142,59,01-01-2023,19:40,113
143,60,01-01-2023,20:05,104
144,60,01-01-2023,20:05,125
145,61,01-01-2023,20:08,101
146,61,01-01-2023,20:08,117
147,62,01-01-2023,20:50,101
148,62,01-01-2023,20:50,123
149,63,01-01-2023,20:51,112
150,64,01-01-2023,20:52,107
151,65,01-01-2023,21:16,112
152,65,01-01-2023,21:16,120
153,65,01-01-2023,21:16,122
154,65,01-01-2023,21:16,123
155,66,01-01-2023,21:47,108
156,66,01-01-2023,21:47,110
157,67,01-01-2023,22:03,105
158,68,01-01-2023,22:07,108
159,68,01-01-2023,22:07,117
160,68,01-01-2023,22:07,117
